$0;1776059370638195069;1.15-SNAPSHOT;KIEKER;2c60425710cd;1;false;0;NANOSECONDS;0
$1;1776059501115694975;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639247;1776059501103653722;1776059501115666482;2c60425710cd;2;1
$1;1776059501151242848;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639247;1776059501116198522;1776059501151219405;2c60425710cd;5;1
$1;1776059501163832710;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639247;1776059501072422267;1776059501163798903;2c60425710cd;0;0
$1;1776059501237787597;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639248;1776059501204620115;1776059501237749127;2c60425710cd;1;1
$1;1776059501376979726;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639248;1776059501237913554;1776059501376950997;2c60425710cd;2;1
$1;1776059501390476384;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639249;1776059501339775567;1776059501390446968;2c60425710cd;1;1
$1;1776059501408719953;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639248;1776059501377070531;1776059501408676571;2c60425710cd;5;1
$1;1776059501418178407;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639249;1776059501390559753;1776059501418156450;2c60425710cd;2;1
$1;1776059501466066638;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639248;1776059501204580711;1776059501466026650;2c60425710cd;0;0
$1;1776059501481445394;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639249;1776059501418664346;1776059501481417076;2c60425710cd;5;1
$1;1776059501483531465;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639249;1776059501339752490;1776059501483514685;2c60425710cd;0;0
$1;1776059501593277943;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639250;1776059501574508056;1776059501593246402;2c60425710cd;1;1
$1;1776059501638027064;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639250;1776059501593402698;1776059501638004705;2c60425710cd;2;1
$1;1776059501662259670;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639250;1776059501638103305;1776059501662235023;2c60425710cd;5;1
$1;1776059501673041048;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639250;1776059501574477216;1776059501673016996;2c60425710cd;0;0
$1;1776059501988860617;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639251;1776059501971341674;1776059501988822826;2c60425710cd;1;1
$1;1776059502009485587;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639251;1776059501988992649;1776059502009451535;2c60425710cd;2;1
$1;1776059502039645377;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639251;1776059502009649048;1776059502039619717;2c60425710cd;5;1
$1;1776059502041516022;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639251;1776059501971316262;1776059502041501250;2c60425710cd;0;0
