$0;1776060090389472803;1.15-SNAPSHOT;KIEKER;efc6074ddc60;1;false;0;NANOSECONDS;0
$1;1776060220302679579;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715095;1776060220288971356;1776060220302649262;efc6074ddc60;5;1
$1;1776060220304787033;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715095;1776060220201036428;1776060220304768478;efc6074ddc60;0;0
$1;1776060220361749210;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715096;1776060220329194601;1776060220361698673;efc6074ddc60;1;1
$1;1776060220378231990;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715096;1776060220361880399;1776060220378201200;efc6074ddc60;2;1
$1;1776060220394163616;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715096;1776060220378640464;1776060220394133389;efc6074ddc60;5;1
$1;1776060220396520846;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715096;1776060220329161291;1776060220396502671;efc6074ddc60;0;0
$1;1776060220554685423;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715097;1776060220545509500;1776060220554658738;efc6074ddc60;1;1
$1;1776060220571665030;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715097;1776060220554767861;1776060220571640980;efc6074ddc60;2;1
$1;1776060220583521003;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715097;1776060220571741408;1776060220583497921;efc6074ddc60;5;1
$1;1776060220585240283;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715097;1776060220545480500;1776060220585226945;efc6074ddc60;0;0
$1;1776060220722714853;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715098;1776060220710822566;1776060220722689564;efc6074ddc60;1;1
$1;1776060220731804411;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715098;1776060220722795748;1776060220731778535;efc6074ddc60;2;1
$1;1776060220745317889;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715098;1776060220731878631;1776060220745254294;efc6074ddc60;5;1
$1;1776060220762680598;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715098;1776060220710798284;1776060220762641198;efc6074ddc60;0;0
