$0;1776121778768531003;1.15-SNAPSHOT;KIEKER;71fd97f4c5ea;1;false;0;NANOSECONDS;0
$1;1776121906194079600;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335829;1776121906182162915;1776121906194057100;71fd97f4c5ea;2;1
$1;1776121906206766586;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5441052037305335829;1776121906194510661;1776121906206743524;71fd97f4c5ea;5;1
$1;1776121906219802173;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5441052037305335829;1776121906171025239;1776121906219772344;71fd97f4c5ea;0;0
$1;1776121906317794595;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335830;1776121906305433272;1776121906317756499;71fd97f4c5ea;1;1
$1;1776121906328942676;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335830;1776121906317888725;1776121906328921748;71fd97f4c5ea;2;1
$1;1776121906336163512;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335831;1776121906325496815;1776121906336137509;71fd97f4c5ea;1;1
$1;1776121906343206674;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335831;1776121906336238957;1776121906343188525;71fd97f4c5ea;2;1
$1;1776121906350690486;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5441052037305335830;1776121906329353831;1776121906350670418;71fd97f4c5ea;5;1
$1;1776121906352951026;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5441052037305335831;1776121906343439497;1776121906352936776;71fd97f4c5ea;5;1
$1;1776121906355462431;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5441052037305335831;1776121906325477568;1776121906355449356;71fd97f4c5ea;0;0
$1;1776121906368151383;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5441052037305335830;1776121906305411316;1776121906368122470;71fd97f4c5ea;0;0
$1;1776121906445305807;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335832;1776121906432467983;1776121906445284325;71fd97f4c5ea;1;1
$1;1776121906459030489;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335832;1776121906445379851;1776121906459010139;71fd97f4c5ea;2;1
$1;1776121906471259640;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5441052037305335832;1776121906459103235;1776121906471236700;71fd97f4c5ea;5;1
$1;1776121906472973250;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5441052037305335832;1776121906432444091;1776121906472961697;71fd97f4c5ea;0;0
$1;1776121906584437388;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335833;1776121906574199889;1776121906584416763;71fd97f4c5ea;1;1
$1;1776121906602568786;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335833;1776121906584508893;1776121906602536613;71fd97f4c5ea;2;1
$1;1776121906619097725;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5441052037305335833;1776121906602680579;1776121906619068637;71fd97f4c5ea;5;1
$1;1776121906621069279;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5441052037305335833;1776121906574172514;1776121906621057406;71fd97f4c5ea;0;0
$1;1776121906822063274;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335834;1776121906811266213;1776121906822033504;71fd97f4c5ea;1;1
$1;1776121906852698430;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335834;1776121906822523879;1776121906852677315;71fd97f4c5ea;2;1
