$0;1776135780121573871;1.15-SNAPSHOT;KIEKER;7fc98c33473d;1;false;0;NANOSECONDS;0
$1;1776135862801295108;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374292;1776135862779329441;1776135862801269003;7fc98c33473d;1;1
$1;1776135862817749766;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374292;1776135862801390558;1776135862817722668;7fc98c33473d;2;1
$1;1776135862851755081;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374292;1776135862818226365;1776135862851720497;7fc98c33473d;5;1
$1;1776135862855777028;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374292;1776135862779298949;1776135862855750250;7fc98c33473d;0;0
$1;1776135862983357157;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374293;1776135862965143987;1776135862983324579;7fc98c33473d;1;1
$1;1776135863008271833;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374293;1776135862983449695;1776135863008228192;7fc98c33473d;2;1
$1;1776135863029147057;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374293;1776135863008386348;1776135863029118147;7fc98c33473d;5;1
$1;1776135863031495032;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374293;1776135862965121033;1776135863031479375;7fc98c33473d;0;0
$1;1776135863095229094;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374294;1776135863082132586;1776135863095206812;7fc98c33473d;1;1
$1;1776135863109517395;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374294;1776135863095305336;1776135863109496241;7fc98c33473d;2;1
$1;1776135863123367467;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374294;1776135863109596261;1776135863123329516;7fc98c33473d;5;1
$1;1776135863131493829;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374294;1776135863082101808;1776135863131467700;7fc98c33473d;0;0
