$0;1776129739865100523;1.15-SNAPSHOT;KIEKER;1fdd072a47d5;1;false;0;NANOSECONDS;0
$1;1776129873331336587;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074006;1776129873267809282;1776129873331317842;1fdd072a47d5;0;0
$1;1776129873428312780;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074007;1776129873408800150;1776129873428277290;1fdd072a47d5;1;1
$1;1776129873449815108;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074007;1776129873428776287;1776129873449548857;1fdd072a47d5;2;1
$1;1776129873483969543;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074007;1776129873452860096;1776129873483939590;1fdd072a47d5;5;1
$1;1776129873488542541;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074007;1776129873408753979;1776129873488511006;1fdd072a47d5;0;0
$1;1776129873590162429;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074008;1776129873576557118;1776129873590131736;1fdd072a47d5;1;1
$1;1776129873597694468;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074008;1776129873590310873;1776129873597672517;1fdd072a47d5;2;1
$1;1776129873616891635;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074008;1776129873597983567;1776129873616864113;1fdd072a47d5;5;1
$1;1776129873618977127;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074008;1776129873576522758;1776129873618964879;1fdd072a47d5;0;0
$1;1776129873915174809;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074009;1776129873892835021;1776129873915142372;1fdd072a47d5;1;1
