$0;1776122519463477419;1.15-SNAPSHOT;KIEKER;5096ca5b4267;1;false;0;NANOSECONDS;0
$1;1776122643231189542;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737368;1776122643192444560;1776122643231122489;5096ca5b4267;5;1
$1;1776122643252107735;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737368;1776122643148657486;1776122643252072385;5096ca5b4267;0;0
$1;1776122643330949189;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737369;1776122643291226419;1776122643330920674;5096ca5b4267;1;1
$1;1776122643403743630;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737370;1776122643370196896;1776122643403719000;5096ca5b4267;1;1
$1;1776122643403919055;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737369;1776122643331025077;1776122643403891619;5096ca5b4267;2;1
$1;1776122643420397394;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737370;1776122643404355619;1776122643420371696;5096ca5b4267;2;1
$1;1776122643426892267;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737369;1776122643404032298;1776122643426868433;5096ca5b4267;5;1
$1;1776122643428526358;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737369;1776122643291194305;1776122643428511641;5096ca5b4267;0;0
$1;1776122643469044228;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737370;1776122643420829046;1776122643468997710;5096ca5b4267;5;1
$1;1776122643472504374;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737370;1776122643370163380;1776122643472480445;5096ca5b4267;0;0
