$0;1776124909198155367;1.15-SNAPSHOT;KIEKER;3390ce98c47b;1;false;0;NANOSECONDS;0
$1;1776125036132276601;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960085;1776125035980941294;1776125036132256303;3390ce98c47b;0;0
$1;1776125036160409441;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960084;1776125036092867799;1776125036160351731;3390ce98c47b;2;1
$1;1776125036188809835;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960084;1776125036161039786;1776125036188778707;3390ce98c47b;5;1
$1;1776125036190883321;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960084;1776125035977115298;1776125036190871055;3390ce98c47b;0;0
$1;1776125036219626043;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960086;1776125036206615279;1776125036219600938;3390ce98c47b;1;1
$1;1776125036232326674;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960086;1776125036219702041;1776125036232291369;3390ce98c47b;2;1
$1;1776125036268206869;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960086;1776125036233020524;1776125036268164721;3390ce98c47b;5;1
$1;1776125036271487992;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960086;1776125036206578783;1776125036271442733;3390ce98c47b;0;0
$1;1776125036361924862;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960087;1776125036339462107;1776125036361895752;3390ce98c47b;1;1
$1;1776125036385103603;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960087;1776125036362006522;1776125036385078421;3390ce98c47b;2;1
$1;1776125036401021570;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960087;1776125036385458179;1776125036400995520;3390ce98c47b;5;1
$1;1776125036402964269;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960087;1776125036339420962;1776125036402951379;3390ce98c47b;0;0
