$0;1776129380382921031;1.15-SNAPSHOT;KIEKER;1d1e0cfaac31;1;false;0;NANOSECONDS;0
$1;1776129511061911047;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590673;1776129511039924395;1776129511061877974;1d1e0cfaac31;2;1
$1;1776129511089886742;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590673;1776129511062020467;1776129511089860209;1d1e0cfaac31;5;1
$1;1776129511095984280;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590673;1776129511021931826;1776129511095969450;1d1e0cfaac31;0;0
$1;1776129511183656574;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590674;1776129511169781768;1776129511183614416;1d1e0cfaac31;1;1
$1;1776129511195789423;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590674;1776129511183783186;1776129511195767333;1d1e0cfaac31;2;1
$1;1776129511205522715;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590674;1776129511196919428;1776129511205489098;1d1e0cfaac31;5;1
$1;1776129511207689709;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590674;1776129511169752205;1776129511207674873;1d1e0cfaac31;0;0
$1;1776129511388838925;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590675;1776129511371444622;1776129511388806709;1d1e0cfaac31;1;1
$1;1776129511408998989;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590675;1776129511388941186;1776129511408960764;1d1e0cfaac31;2;1
$1;1776129511422994513;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590675;1776129511409166828;1776129511422962365;1d1e0cfaac31;5;1
