$0;1776121419952662134;1.15-SNAPSHOT;KIEKER;d1f6ee30b014;1;false;0;NANOSECONDS;0
$1;1776121544079906245;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1524749948841623574;1776121544056273457;1776121544079875813;d1f6ee30b014;1;1
$1;1776121544094851193;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1524749948841623574;1776121544080398063;1776121544094828812;d1f6ee30b014;2;1
$1;1776121544123819904;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1524749948841623574;1776121544095215462;1776121544123793459;d1f6ee30b014;5;1
$1;1776121544126252793;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1524749948841623574;1776121544056227165;1776121544126235677;d1f6ee30b014;0;0
$1;1776121544367561845;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1524749948841623575;1776121544356063268;1776121544367539487;d1f6ee30b014;1;1
$1;1776121544391166419;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1524749948841623575;1776121544367634760;1776121544391136876;d1f6ee30b014;2;1
$1;1776121544404425420;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1524749948841623575;1776121544391257239;1776121544404403182;d1f6ee30b014;5;1
$1;1776121544427966446;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1524749948841623575;1776121544356033362;1776121544427939195;d1f6ee30b014;0;0
$1;1776121544471100190;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1524749948841623576;1776121544459641670;1776121544471067800;d1f6ee30b014;1;1
$1;1776121544498897947;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1524749948841623576;1776121544471537135;1776121544498865866;d1f6ee30b014;2;1
$1;1776121544575278676;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1524749948841623576;1776121544499353809;1776121544575230718;d1f6ee30b014;5;1
$1;1776121544582029478;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1524749948841623576;1776121544459608067;1776121544582009335;d1f6ee30b014;0;0
