$0;1776139314968881554;1.15-SNAPSHOT;KIEKER;4c3518970fc5;1;false;0;NANOSECONDS;0
$1;1776139441750126091;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584464;1776139441681081180;1776139441749205885;4c3518970fc5;2;1
$1;1776139441784739834;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584464;1776139441750267699;1776139441784712448;4c3518970fc5;5;1
$1;1776139441787931962;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584464;1776139441631227061;1776139441787909520;4c3518970fc5;0;0
$1;1776139441926309008;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584465;1776139441858540503;1776139441926272635;4c3518970fc5;1;1
$1;1776139441995335683;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584465;1776139441926400294;1776139441995306636;4c3518970fc5;2;1
$1;1776139442006461620;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584466;1776139441927337890;1776139442006408545;4c3518970fc5;1;1
$1;1776139442026144712;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584465;1776139441995475130;1776139442026120736;4c3518970fc5;5;1
$1;1776139442055551323;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584465;1776139441857996105;1776139442055512423;4c3518970fc5;0;0
$1;1776139442067055817;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584466;1776139442006608410;1776139442067015987;4c3518970fc5;2;1
$1;1776139442113914989;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584466;1776139442067808924;1776139442113807544;4c3518970fc5;5;1
$1;1776139442126507822;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584466;1776139441927311517;1776139442126471462;4c3518970fc5;0;0
$1;1776139442286793612;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584467;1776139442252192721;1776139442286771712;4c3518970fc5;1;1
