$0;1776117817428930433;1.15-SNAPSHOT;KIEKER;d815357b3c45;1;false;0;NANOSECONDS;0
$1;1776117947124007154;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754515;1776117947081915733;1776117947123989737;d815357b3c45;0;0
$1;1776117947131389859;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754516;1776117947110098281;1776117947131351010;d815357b3c45;2;1
$1;1776117947140471309;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754516;1776117947131468469;1776117947140448359;d815357b3c45;5;1
$1;1776117947142967183;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754516;1776117947087887873;1776117947142953530;d815357b3c45;0;0
$1;1776117947562142193;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754517;1776117947548749563;1776117947562082539;d815357b3c45;1;1
$1;1776117947575773623;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754517;1776117947562813182;1776117947575737786;d815357b3c45;2;1
$1;1776117947596826103;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754517;1776117947576326017;1776117947596790899;d815357b3c45;5;1
$1;1776117947603465865;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754517;1776117947548715378;1776117947603443728;d815357b3c45;0;0
$1;1776117947628406399;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754518;1776117947619843165;1776117947628385530;d815357b3c45;1;1
$1;1776117947649479170;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754518;1776117947628474028;1776117947649458602;d815357b3c45;2;1
