$0;1776133985251509540;1.15-SNAPSHOT;KIEKER;eddfecabd279;1;false;0;NANOSECONDS;0
$1;1776134065731181239;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;755197362514690070;1776134065617468526;1776134065731168405;eddfecabd279;0;0
$1;1776134065921399093;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690071;1776134065868098095;1776134065921356034;eddfecabd279;1;1
$1;1776134065988622287;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690071;1776134065921520095;1776134065988599194;eddfecabd279;2;1
$1;1776134066009146683;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690072;1776134065999077566;1776134066009122217;eddfecabd279;1;1
$1;1776134066050192151;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;755197362514690071;1776134065988697617;1776134066050157948;eddfecabd279;5;1
$1;1776134066052356816;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;755197362514690071;1776134065868066061;1776134066052341606;eddfecabd279;0;0
$1;1776134066162239537;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690072;1776134066009237446;1776134066162211442;eddfecabd279;2;1
$1;1776134066181117746;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;755197362514690072;1776134066162331943;1776134066181085735;eddfecabd279;5;1
$1;1776134066194851158;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;755197362514690072;1776134065999058108;1776134066194825248;eddfecabd279;0;0
$1;1776134066411665581;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690073;1776134066369085053;1776134066411632252;eddfecabd279;1;1
$1;1776134066419692540;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690073;1776134066411756560;1776134066419671170;eddfecabd279;2;1
$1;1776134066471217402;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;755197362514690073;1776134066419764134;1776134066471193492;eddfecabd279;5;1
$1;1776134066472852489;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;755197362514690073;1776134066369055646;1776134066472839480;eddfecabd279;0;0
$1;1776134066567933689;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690074;1776134066454095602;1776134066567908024;eddfecabd279;1;1
$1;1776134066568061559;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;755197362514690075;1776134066519553821;1776134066568035491;eddfecabd279;1;1
$1;1776134066597131687;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690074;1776134066568017624;1776134066597104527;eddfecabd279;2;1
$1;1776134066601730577;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;755197362514690075;1776134066568129394;1776134066601700152;eddfecabd279;2;1
$1;1776134066634131564;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;755197362514690074;1776134066598175287;1776134066634107912;eddfecabd279;5;1
