$0;1776122142362087434;1.15-SNAPSHOT;KIEKER;6b5b030c8ee1;1;false;0;NANOSECONDS;0
$1;1776122271819324519;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076650007;1776122271809546354;1776122271819261395;6b5b030c8ee1;1;1
$1;1776122271835055577;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076650007;1776122271819786291;1776122271835032473;6b5b030c8ee1;2;1
$1;1776122271853692595;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076650008;1776122271829497604;1776122271853668510;6b5b030c8ee1;1;1
$1;1776122271867027069;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076650007;1776122271835149591;1776122271866997094;6b5b030c8ee1;5;1
$1;1776122271872099132;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076650008;1776122271854168665;1776122271872080249;6b5b030c8ee1;2;1
$1;1776122271877024523;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076650007;1776122271809525247;1776122271877000526;6b5b030c8ee1;0;0
$1;1776122271901697474;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076650008;1776122271872971662;1776122271901668064;6b5b030c8ee1;5;1
$1;1776122271904414945;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076650008;1776122271829466787;1776122271904400974;6b5b030c8ee1;0;0
$1;1776122272158297956;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076650009;1776122272147789325;1776122272158277864;6b5b030c8ee1;1;1
$1;1776122272172223284;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076650009;1776122272158365389;1776122272172202462;6b5b030c8ee1;2;1
$1;1776122272183116038;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076650009;1776122272172304696;1776122272183090925;6b5b030c8ee1;5;1
$1;1776122272185008638;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076650009;1776122272147759019;1776122272184994351;6b5b030c8ee1;0;0
$1;1776122272267797359;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076650010;1776122272252767170;1776122272267715123;6b5b030c8ee1;1;1
$1;1776122272288181320;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076650010;1776122272267990985;1776122272288152488;6b5b030c8ee1;2;1
