$0;1776118179627378582;1.15-SNAPSHOT;KIEKER;d61a971a8f9d;1;false;0;NANOSECONDS;0
$1;1776118307566986826;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2130765573699665941;1776118307512739906;1776118307566950821;d61a971a8f9d;5;1
$1;1776118307592175650;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2130765573699665941;1776118307443774868;1776118307592150335;d61a971a8f9d;0;0
$1;1776118307604340065;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2130765573699665943;1776118307573376921;1776118307604317448;d61a971a8f9d;1;1
$1;1776118307626154553;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2130765573699665943;1776118307613919068;1776118307626133510;d61a971a8f9d;2;1
$1;1776118307662082380;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2130765573699665943;1776118307626234196;1776118307662060128;d61a971a8f9d;5;1
$1;1776118307664240057;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2130765573699665943;1776118307573346636;1776118307664228806;d61a971a8f9d;0;0
$1;1776118307710186358;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2130765573699665944;1776118307697585853;1776118307710162476;d61a971a8f9d;1;1
$1;1776118307722967912;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2130765573699665944;1776118307710270400;1776118307722944606;d61a971a8f9d;2;1
$1;1776118307755232661;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2130765573699665944;1776118307723049921;1776118307755202890;d61a971a8f9d;5;1
$1;1776118307757891657;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2130765573699665944;1776118307697563404;1776118307757867167;d61a971a8f9d;0;0
$1;1776118307872477939;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2130765573699665945;1776118307850177030;1776118307872444568;d61a971a8f9d;1;1
$1;1776118307889667956;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2130765573699665945;1776118307872598177;1776118307889626533;d61a971a8f9d;2;1
