$0;1776138586916638340;1.15-SNAPSHOT;KIEKER;ff63fb3914ef;1;false;0;NANOSECONDS;0
$1;1776138712113784781;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962384;1776138712029195849;1776138712113757166;ff63fb3914ef;2;1
$1;1776138712116065608;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962385;1776138712085552500;1776138712116038647;ff63fb3914ef;2;1
$1;1776138712154675118;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962386;1776138712119385128;1776138712154640597;ff63fb3914ef;1;1
$1;1776138712161197021;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962385;1776138712116142729;1776138712161171756;ff63fb3914ef;5;1
$1;1776138712164463857;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962384;1776138712113906684;1776138712164436143;ff63fb3914ef;5;1
$1;1776138712167955309;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962384;1776138712004157279;1776138712167931789;ff63fb3914ef;0;0
$1;1776138712195414229;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962385;1776138712059054909;1776138712195368584;ff63fb3914ef;0;0
$1;1776138712202068289;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962386;1776138712154794873;1776138712202049631;ff63fb3914ef;2;1
$1;1776138712231255813;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962386;1776138712202143428;1776138712231219503;ff63fb3914ef;5;1
$1;1776138712234321713;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962386;1776138712119358667;1776138712233383575;ff63fb3914ef;0;0
