$0;1776111449606733853;1.15-SNAPSHOT;KIEKER;f0fdca49a211;1;false;0;NANOSECONDS;0
$1;1776111573252184496;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906962;1776111572920512072;1776111573252146728;f0fdca49a211;0;0
$1;1776111573296165682;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906963;1776111573208625296;1776111573296135346;f0fdca49a211;1;1
$1;1776111573318290470;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906963;1776111573296297100;1776111573318259815;f0fdca49a211;2;1
$1;1776111573355234120;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906964;1776111573273382267;1776111573355203473;f0fdca49a211;1;1
$1;1776111573390460505;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906964;1776111573355341041;1776111573390431983;f0fdca49a211;2;1
$1;1776111573407199182;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906963;1776111573318916576;1776111573407167517;f0fdca49a211;5;1
$1;1776111573424455873;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906964;1776111573390561340;1776111573424426485;f0fdca49a211;5;1
$1;1776111573428986522;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906963;1776111573208603489;1776111573428958569;f0fdca49a211;0;0
$1;1776111573469689502;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906964;1776111573273294737;1776111573469646157;f0fdca49a211;0;0
$1;1776111573562646181;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906965;1776111573501183156;1776111573562616523;f0fdca49a211;1;1
$1;1776111573586819794;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906965;1776111573562736079;1776111573586795549;f0fdca49a211;2;1
